Title,Price,Link,Mileage,Color,State,Gearbox,Year,Cylindrée,Brand,Model,Body_type,Fuel
SKODA FABIA ××MONTE CARLO××,upon request,https://www.tayara.tn/item/6828f5fe41532c94f15bc94f/Voitures/Tunis/Lac_2/SKODA_FABIA_MONTE_CARLO_/,70.0,Gris,Nouveau,Manuelle,2022.0,<1.0L,Skoda,Fabia,Berline,Essence
peugeot partner,19500.0,https://www.tayara.tn/item/6828f4286238a0abfdd1d562/Voitures/Ariana/Mnihla/peugeot_partner/,350.0,Gris,Avec kilométrage,Manuelle,2008.0,1.9L,Peugeot,Partner,Autres,Diesel
Ford fiesta,25000.0,https://www.tayara.tn/item/6828f39b41532c94f15bc767/Voitures/Tunis/El_Menzah_9/Ford_fiesta_/,183000.0,Gris,Avec kilométrage,Manuelle,2009.0,1.2L,Ford,Fiesta,Compacte,Essence
Hyundai i10 sedan,40700.0,https://www.tayara.tn/item/6828f14141532c94f15bc635/Voitures/Ariana/Ariana/Hyundai_i10_sedan/,115000.0,Gris,Avec kilométrage,Manuelle,2021.0,1.2L,Hyundai,I 10,Berline,Essence
kia SPORTAGE,118000.0,https://www.tayara.tn/item/6828f0bbd7fb6f5ad67373bd/Voitures/Tunis/Jardins_De_Carthage/kia_SPORTAGE_/,73.0,Blanc,Nouveau,Automatique,2022.0,1.6L,Kia,Sportage,Compacte,Essence
Golf 6 1.4 Essence,42.0,https://www.tayara.tn/item/6828ef436238a0abfdd1d29b/Voitures/Sfax/Route_GREMDA/Golf_6_14_Essence/,229.0,Noir,Avec kilométrage,Manuelle,2011.0,1.4L,Volkswagen,Golf,Compacte,Essence
FORD FIESTA,18000.0,https://www.tayara.tn/item/6828ef41d7fb6f5ad67372db/Voitures/Sousse/M_Saken/FORD_FIESTA/,242.0,Noir,Avec kilométrage,Manuelle,2008.0,>4.0L,Ford,Autres,Compacte,Essence
Peugeot 301 - 4 cylinder,27000.0,https://www.tayara.tn/item/6828ef1a6238a0abfdd1d287/Voitures/Kasserine/Friana/Peugeot_301_4_cylinder_/,140000.0,Gris,Nouveau,Automatique,2015.0,1.6L,Peugeot,301,Berline,Essence
KIA SPORTAGE GT-LINE 4x4 2.0L,upon request,https://www.tayara.tn/item/67b9966bbf049e957ead395c/Voitures/Ariana/Ghazela/KIA_SPORTAGE_GTLINE_4x4_20L/,106000.0,Argent,Avec kilométrage,Automatique,2016.0,2.0L,Kia,Sportage,4 x 4,Diesel
Citroen C4 Grand Picasso Auto,35000.0,https://www.tayara.tn/item/6818e64bc5beda2b51d8cccc/Voitures/Sousse/Sousse_Riadh/Citroen_C4_Grand_Picasso_Auto/,105000.0,Bleu,Avec kilométrage,Automatique,2010.0,1.6L,Citroen,Grand C4 Picasso,Monospace,Diesel
Kia picanto,45000.0,https://www.tayara.tn/item/6828ecbf41532c94f15bc36e/Voitures/Mdenine/Djerba_Midoun/Kia_picanto_/,17000.0,Gris,Nouveau,Manuelle,2022.0,1.2L,Kia,Picanto,Autres,Essence
chevrolet sonic,33500.0,https://www.tayara.tn/item/6828eb5e41532c94f15bc2c6/Voitures/Sousse/Autres_Villes/chevrolet_sonic_/,125000.0,Noir,Avec kilométrage,Manuelle,2018.0,1.2L,Chevrolet,Aveo,Berline,Essence
à vendre jumpy Citroën 03 ??? ?????// série 158 //moteur jdid /Ehdi 1.6 / ?? ???? ??? ????? ... 20686081,29.0,https://www.tayara.tn/item/6828ea436238a0abfdd1cfc9/Voitures/Gabs/Gabs/_vendre_jumpy_Citron_03_srie_158_moteur_jdid_Ehdi_16_20686081/,16.0,Blanc,Nouveau,Autres,2012.0,,Autres,Autres,Autres,
skoda fabia,35000.0,https://www.tayara.tn/item/6828ea0dbb15dfc4f1903457/Voitures/Gabs/Gabs/skoda_fabia_/,176.0,Noir,Avec kilométrage,Manuelle,2017.0,<1.0L,Skoda,Fabia,Berline,Essence
ssangyong kyron 4*4 BVA TOIT ouvrant,123.0,https://www.tayara.tn/item/6828e95dbb15dfc4f1903409/Voitures/Ariana/Ariana/ssangyong_kyron_44_BVA_TOIT_ouvrant_/,180000.0,Blanc,Avec kilométrage,Automatique,2014.0,2.0L,Ssangyong,Kyron,4 x 4,Diesel
bmw serie 320i e92 restylé phase 2 kit M état neuf,upon request,https://www.tayara.tn/item/6828e87c41532c94f15bc166/Voitures/Tunis/Tunis/bmw_serie_320i_e92_restyl_phase_2_kit_M_tat_neuf_/,155000.0,Blanc,Avec kilométrage,Manuelle,2012.0,2.0L,BMW,Serie 3 GT,Utilitaire,Essence
CLA 180 BVA,78000.0,https://www.tayara.tn/item/6828e7b541532c94f15bc0fd/Voitures/Sfax/Route_El_Afrane/CLA_180_BVA/,1180000.0,Blanc,Avec kilométrage,Automatique,2015.0,1.8L,Mercedes-Benz,Classe CLA,Berline,Essence
Mercedes échange possible 1 main tou torigine tel 23414111,upon request,https://www.tayara.tn/item/6828e6c141532c94f15bc077/Voitures/Mahdia/Chorbane/Mercedes_change_possible_1_main_tou_torigine_tel_23414111/,300.0,Noir,Nouveau,Manuelle,2010.0,2.2L,Mercedes-Benz,Classe E,Berline,Diesel
dacia dokker van lux,37500.0,https://www.tayara.tn/item/6828e5e541532c94f15bbff1/Voitures/La_Manouba/Mornaguia/dacia_dokker_van_lux/,78200.0,Blanc,Nouveau,Manuelle,2021.0,1.5L,Dacia,Dokker,Utilitaire,Diesel
dacia dokker van lux,37500.0,https://www.tayara.tn/item/6828e5e541532c94f15bbff1/Voitures/La_Manouba/Mornaguia/dacia_dokker_van_lux/,78200.0,Blanc,Nouveau,Manuelle,2021.0,1.5L,Dacia,Dokker,Utilitaire,Diesel
Ford Fiesta Importer Germany,30000.0,https://www.tayara.tn/item/6828e5bbbb15dfc4f190320d/Voitures/Ben_Arous/Boumhel/Ford_Fiesta_Importer_Germany/,0.0,Noir,Nouveau,Manuelle,2009.0,1.3L,Ford,Fiesta,Autres,Essence
mercedes c180 restylé phase 2 kit Amg importé d’Allemagne état neuf,upon request,https://www.tayara.tn/item/6828e4366238a0abfdd1ccb7/Voitures/Ariana/Ariana/mercedes_c180_restyl_phase_2_kit_Amg_import_dAllemagne_tat_neuf_/,200000.0,Noir,Avec kilométrage,Automatique,2012.0,1.8L,Mercedes-Benz,Classe C Coupe,Utilitaire,Essence
??À VENDRE : Nissan Qashkai??TEL 22205349,65.0,https://www.tayara.tn/item/6828e26941532c94f15bbdc9/Voitures/Ben_Arous/Ezzahra/_VENDRE_Nissan_QashkaiTEL_22205349/,120000.0,Gris,Avec kilométrage,Automatique,2020.0,1.2L,Nissan,Qashqai,4 x 4,Essence
PASSAT B7,42000.0,https://www.tayara.tn/item/6828e0f18dc85fdb7d3def3c/Voitures/Monastir/Ksar_Hellal/PASSAT_B7/,304000.0,Noir,Avec kilométrage,Manuelle,2009.0,2.0L,Volkswagen,Passat,Autres,Diesel
?? Peugeot 3008 ehdi Boite Auto importée Fin Serie Tn251 Full option ??TEL 22205349,75.0,https://www.tayara.tn/item/6828e02941532c94f15bbc47/Voitures/Ben_Arous/Ezzahra/_Peugeot_3008_ehdi_Boite_Auto_importe_Fin_Serie_Tn251_Full_option_TEL_22205349/,124000.0,Noir,Nouveau,Automatique,2020.0,1.5L,Peugeot,3008,4 x 4,Diesel
seat arona importé fin seri,upon request,https://www.tayara.tn/item/6828df8b41532c94f15bbbca/Voitures/Kairouan/Kairouan/seat_arona_import_fin_seri/,88000.0,Gris,Nouveau,Manuelle,2022.0,<1.0L,Seat,Leon,4 x 4,Essence
Bus a vendre,30.0,https://www.tayara.tn/item/6828df5d6238a0abfdd1c930/Voitures/Ben_Arous/Mornag/Bus_a_vendre_/,,Blanc,Autres,Manuelle,,,Mercedes-Benz,Autres,Autres,
HYUNDAI GRAND I 10 SEDAN TRÈS PROPRE,35800.0,https://www.tayara.tn/item/6828defb41532c94f15bbb4a/Voitures/Tataouine/Tataouine/HYUNDAI_GRAND_I_10_SEDAN_TRS_PROPRE_/,113000.0,Gris,Avec kilométrage,Manuelle,2021.0,1.2L,Hyundai,Grand i10,Berline,Essence
RENAULT MEGANE PREMIÈRE MAIN FULL OPTION,upon request,https://www.tayara.tn/item/6828dee741532c94f15bbb34/Voitures/Bizerte/Bizerte/RENAULT_MEGANE_PREMIRE_MAIN_FULL_OPTION_/,68000.0,Noir,Avec kilométrage,Manuelle,2019.0,1.2L,Renault,Megane Estate,Berline,Essence
AUDI A4 S-LINE TDI,upon request,https://www.tayara.tn/item/680369f4c5beda2b51c9fe80/Voitures/Ariana/Ghazela/AUDI_A4_SLINE_TDI/,230000.0,Noir,Avec kilométrage,Manuelle,2010.0,2.0L,Audi,A4,Berline,Diesel
BMW X1 S-DRIVE,upon request,https://www.tayara.tn/item/68036e62c5beda2b51ca0244/Voitures/Ariana/Ghazela/BMW_X1_SDRIVE/,68000.0,Autre,Avec kilométrage,Automatique,2020.0,1.5L,BMW,X1,Autres,Essence
Volkswagen golf 7 lounge 1 er main 88000 km reel avec carnet entretient chez maison volkswagen peinture origine modele 2016 entree en tunisie 2017 5 cv essence tt options toit ouvrant fermiture central avec retroviseurs rabatbles climatiseur electronic en marche 4 vitres electric bleutooth aux /usb regulateurs de vitesse multofonctions au volant capteurs de lumiere et de pluie vidange complait fait numero ?? 55553563,upon request,https://www.tayara.tn/item/6828dea741532c94f15bbafa/Voitures/Sfax/Route_El_Ain/Volkswagen_golf_7_lounge_1_er_main_88000_km_reel_avec_carnet_entretient_chez_maison_volkswagen_peinture_origine_modele_2016_entree_en_tunisie_2017_5_cv_essence_tt_options_toit_ouvrant_fermiture_central_avec_retroviseurs_rabatbles_climatiseur_electronic_en_marche_4_vitres_electric_bleutooth_aux_usb_regulateurs_de_vitesse_multofonctions_au_volant_capteurs_de_lumiere_et_de_pluie_vidange_complait_fait_numero_55553563/,80000.0,Noir,Nouveau,Manuelle,2016.0,1.4L,Volkswagen,Golf 7,Compacte,Essence
Fiat doblo 1 er main modele 2021 seulment 121000 km peinture origine 0 retouche 5 cv gazoil neuf usage personnel cabine neuf vidange complait fait croie de chaine changee embrayage changee tt options climatiseur en marche abs fermiture central avec vitres airbag poste origine fiat bleutooth aux/usb assiste abs 2 vitres electric double clef numero?? 55553563,upon request,https://www.tayara.tn/item/6828dea26238a0abfdd1c882/Voitures/Sfax/Route_El_Ain/Fiat_doblo_1_er_main_modele_2021_seulment_121000_km_peinture_origine_0_retouche_5_cv_gazoil_neuf_usage_personnel_cabine_neuf_vidange_complait_fait_croie_de_chaine_changee_embrayage_changee_tt_options_climatiseur_en_marche_abs_fermiture_central_avec_vitres_airbag_poste_origine_fiat_bleutooth_auxusb_assiste_abs_2_vitres_electric_double_clef_numero_55553563/,120000.0,Blanc,Nouveau,Manuelle,2021.0,1.4L,Fiat,Doblo,Utilitaire,Diesel
